Discipline,Gender,ENG Description,POR Description
AR,0,Global,Geral
AR,M,Men,Masculino
AR,W,Women,Feminino
AR,X,Mixed,Misto
AT,0,Global,Geral
AT,M,Men,Masculino
AT,W,Women,Feminino
BO,0,Global,Geral
BO,X,Mixed,Misto
CA,0,Global,Geral
CE,0,Global,Geral
CF,0,Global,Geral
CF,M,Men,Masculino
CF,W,Women,Feminino
CR,0,Global,Geral
CR,M,Men,Masculino
CR,W,Women,Feminino
CR,X,Mixed,Misto
CT,0,Global,Geral
CT,M,Men,Masculino
CT,W,Women,Feminino
CT,X,Mixed,Misto
CY,0,Global,Geral
EQ,0,Global,Geral
EQ,X,Mixed,Misto
FB,0,Global,Geral
FB,M,Men,Masculino
FT,0,Global,Geral
FT,M,Men,Masculino
GB,0,Global,Geral
GB,M,Men,Masculino
GB,W,Women,Feminino
GL,0,Global,Geral
JU,0,Global,Geral
JU,M,Men,Masculino
JU,W,Women,Feminino
OV,0,Global,Geral
PC,0,Global,Geral
PO,0,Global,Geral
PO,M,Men,Masculino
PO,W,Women,Feminino
RO,0,Global,Geral
RO,M,Men,Masculino
RO,W,Women,Feminino
RO,X,Mixed,Misto
SA,0,Global,Geral
SA,X,Mixed,Misto
SH,0,Global,Geral
SH,M,Men,Masculino
SH,W,Women,Feminino
SH,X,Mixed,Misto
SW,0,Global,Geral
SW,M,Men,Masculino
SW,W,Women,Feminino
SW,X,Mixed,Misto
TR,0,Global,Geral
TR,M,Men,Masculino
TR,W,Women,Feminino
TT,0,Global,Geral
TT,M,Men,Masculino
TT,W,Women,Feminino
UT,0,Global,Geral
VS,0,Global,Geral
VS,M,Men,Masculino
VS,W,Women,Feminino
WB,0,Global,Geral
WB,M,Men,Masculino
WB,W,Women,Feminino
WF,0,Global,Geral
WF,M,Men,Masculino
WF,W,Women,Feminino
WR,0,Global,Geral
WR,X,Mixed,Misto
WT,0,Global,Geral
WT,M,Men,Masculino
WT,W,Women,Feminino
WT,X,Mixed,Misto
