Id,ENG Description,POR Description
AR,Archery,Tiro com Arco
AT,Athletics,Atletismo
BO,Boccia,Bocha
CA,Canoe,Canoagem
CE,Ceremonies,Cerimônias
CY,Cycling,Ciclismo
EQ,Equestrian,Hipismo
FB,Football 5-a-side,Futebol de 5
FT,Football 7-a-side,Futebol de 7
GB,Goalball,Goalball
JU,Judo,Judô
PO,Powerlifting,Halterofilismo
RO,Rowing,Remo
SA,Sailing,Vela
SH,Shooting,Tiro Esportivo
SW,Swimming,Natação
TR,Triathlon,Triatlo
TT,Table Tennis,Tênis de Mesa
VS,Sitting Volleyball,Voleibol Sentado
WB,Wheelchair Basketball,Basquetebol em Cadeira de Roda
WF,Wheelchair Fencing,Esgrima em Cadeira de Rodas
WR,Wheelchair Rugby,Rugby em Cadeira de Rodas
WT,Wheelchair Tennis,Tênis em Cadeira de Rodas
XX,More than one Sport,Multi-esporte
