Discipline,Gender,Event,order,ENG Description,POR Description,ENG longdescription,POR longdescription,Team Event
AR,0,000,,Archery,Tiro com arco,Archery,Tiro com arco,
AR,0,070,,Archery Individual,Tiro com arco individual,Archery Individual,Tiro com arco individual,
AR,0,470,,Archery Team,Tiro com arco por equipes,Archery Team,Tiro com arco por equipes,Y
AR,0,SBD,,Sambódromo,Sambódromo,Sambódromo,Sambódromo,
AR,M,000,,Men's Archery,Tiro com arco masculino,Men's Archery,Tiro com arco masculino,
AR,M,071,1,Men's Individual Recurve/Compound - W1,Arco recurvo/composto masculino - W1,Men's Individual Recurve/Compound - W1,Arco recurvo/composto masculino - W1,N
AR,M,072,2,Men's Individual Compound - Open,Arco composto masculino - Aberto,Men's Individual Compound - Open,Arco composto masculino - Aberto,N
AR,M,073,3,Men's Individual Recurve - Open,Arco recurvo masculino - Aberto,Men's Individual Recurve - Open,Arco recurvo masculino - Aberto,N
AR,W,000,,Women's Archery,Tiro com arco feminino,Women's Archery,Tiro com arco feminino,
AR,W,071,4,Women's Individual Recurve/Compound - W1,Arco recurvo/composto feminino - W1,Women's Individual Recurve/Compound - W1,Arco recurvo/composto feminino - W1,N
AR,W,072,5,Women's Individual Compound - Open,Arco composto feminino - Aberto,Women's Individual Compound - Open,Arco composto feminino - Aberto,N
AR,W,073,6,Women's Individual Recurve  - Open,Arco recurvo feminino - Aberto,Women's Individual Recurve  - Open,Arco recurvo feminino - Aberto,N
AR,X,000,,Mixed Archery,Tiro com arco misto,Mixed Archery,Tiro com arco misto,
AR,X,471,7,Mixed Team W1 Recurve/Compound,Times mistos arco recurvo/composto - W1 ,Mixed Team W1 Recurve/Compound,Times mistos arco recurvo/composto - W1 ,Y
AR,X,472,8,Mixed Team Compound Open,Times mistos arco composto - aberto,Mixed Team Compound Open,Times mistos arco composto - aberto,Y
AR,X,473,9,Mixed Team Recurve Open,Times mistos arco recurvo - aberto,Mixed Team Recurve Open,Times mistos arco recurvo - aberto,Y
AT,0,000,,Athletics,Atletismo,Athletics,Atletismo,
AT,0,FTC,,Fort Copacabana,Forte de Copacabana,Fort Copacabana,Forte de Copacabana,
AT,0,OLS,,Olympic Stadium,Estádio Olímpico,Olympic Stadium,Estádio Olímpico,
AT,M,000,,Men's Athletics,Atletismo masculino,Men's Athletics,Atletismo masculino,
AT,M,014,53,Men's High Jump - F42,Salto em altura masculino - F42,Men's High Jump - F42,Salto em altura masculino - F42,N
AT,M,020,54,Men's High Jump - F46,Salto em altura masculino - F46,Men's High Jump - F46,Salto em altura masculino - F46,N
AT,M,031,55,Men's Long Jump - F11,Salto em distância masculino - F11,Men's Long Jump - F11,Salto em distância masculino - F11,N
AT,M,033,56,Men's Long Jump - F13,Salto em distância masculino - F13,Men's Long Jump - F13,Salto em distância masculino - F13,N
AT,M,034,57,Men's Long Jump - F36,Salto em distância masculino - F36,Men's Long Jump - F36,Salto em distância masculino - F36,N
AT,M,035,58,Men's Long Jump - F20,Salto em distância masculino - F20,Men's Long Jump - F20,Salto em distância masculino - F20,N
AT,M,040,59,Men's Long Jump - F37/38,Salto em distância masculino - F37/38,Men's Long Jump - F37/38,Salto em distância masculino - F37/38,N
AT,M,042,60,Men's Long Jump - F42/44,Salto em distância masculino - F42/44,Men's Long Jump - F42/44,Salto em distância masculino - F42/44,N
AT,M,060,61,Men's Long Jump - F46,Salto em distância masculino - F46,Men's Long Jump - F46,Salto em distância masculino - F46,N
AT,M,091,62,Men's Triple Jump - F11,Salto triplo masculino - F11,Men's Triple Jump - F11,Salto triplo masculino - F11,N
AT,M,092,63,Men's Triple Jump - F12,Salto triplo masculino - F12,Men's Triple Jump - F12,Salto triplo masculino - F12,N
AT,M,093,64,Men's Triple Jump - F46,Salto triplo masculino - F46,Men's Triple Jump - F46,Salto triplo masculino - F46,N
AT,M,111,1,Men's 100m - T11,100m rasos masculino - T11,Men's 100m - T11,100m rasos masculino - T11,N
AT,M,112,2,Men's 100m - T12,100m rasos masculino - T12,Men's 100m - T12,100m rasos masculino - T12,N
AT,M,113,3,Men's 100m - T13,100m rasos masculino - T13,Men's 100m - T13,100m rasos masculino - T13,N
AT,M,134,4,Men's 100m - T34,100m rasos masculino - T34,Men's 100m - T34,100m rasos masculino - T34,N
AT,M,135,5,Men's 100m - T35,100m rasos masculino - T35,Men's 100m - T35,100m rasos masculino - T35,N
AT,M,136,6,Men's 100m - T36,100m rasos masculino - T36,Men's 100m - T36,100m rasos masculino - T36,N
AT,M,137,7,Men's 100m - T37,100m rasos masculino - T37,Men's 100m - T37,100m rasos masculino - T37,N
AT,M,138,8,Men's 100m - T38,100m rasos masculino - T38,Men's 100m - T38,100m rasos masculino - T38,N
AT,M,140,9,Men's 100m - T44,100m rasos masculino - T44,Men's 100m - T44,100m rasos masculino - T44,N
AT,M,141,10,Men's 100m - T46,100m rasos masculino - T46,Men's 100m - T46,100m rasos masculino - T46,N
AT,M,142,11,Men's 100m - T42,100m rasos masculino - T42,Men's 100m - T42,100m rasos masculino - T42,N
AT,M,150,12,Men's 100m - T52,100m rasos masculino - T52,Men's 100m - T52,100m rasos masculino - T52,N
AT,M,151,13,Men's 100m - T51,100m rasos masculino - T51,Men's 100m - T51,100m rasos masculino - T51,N
AT,M,153,14,Men's 100m - T53,100m rasos masculino - T53,Men's 100m - T53,100m rasos masculino - T53,N
AT,M,154,15,Men's 100m - T54,100m rasos masculino - T54,Men's 100m - T54,100m rasos masculino - T54,N
AT,M,211,16,Men's 200m - T11,200m rasos masculino - T11,Men's 200m - T11,200m rasos masculino - T11,N
AT,M,212,17,Men's 200m - T12,200m rasos masculino - T12,Men's 200m - T12,200m rasos masculino - T12,N
AT,M,213,18,Men's 200m - T13,200m rasos masculino - T13,Men's 200m - T13,200m rasos masculino - T13,N
AT,M,230,19,Men's 200m - T36,200m rasos masculino - T36,Men's 200m - T36,200m rasos masculino - T36,N
AT,M,234,20,Men's 200m - T34,200m rasos masculino - T34,Men's 200m - T34,200m rasos masculino - T34,N
AT,M,235,21,Men's 200m - T35,200m rasos masculino - T35,Men's 200m - T35,200m rasos masculino - T35,N
AT,M,237,22,Men's 200m - T37,200m rasos masculino - T37,Men's 200m - T37,200m rasos masculino - T37,N
AT,M,238,23,Men's 200m - T38,200m rasos masculino - T38,Men's 200m - T38,200m rasos masculino - T38,N
AT,M,240,24,Men's 200m - T44,200m rasos masculino - T44,Men's 200m - T44,200m rasos masculino - T44,N
AT,M,241,25,Men's 200m - T46,200m rasos masculino - T46,Men's 200m - T46,200m rasos masculino - T46,N
AT,M,242,26,Men's 200m - T42,200m rasos masculino - T42,Men's 200m - T42,200m rasos masculino - T42,N
AT,M,250,27,Men's 200m - T52,200m rasos masculino - T52,Men's 200m - T52,200m rasos masculino - T52,N
AT,M,253,28,Men's 200m - T53,200m rasos masculino - T53,Men's 200m - T53,200m rasos masculino - T53,N
AT,M,301,94,Men's Club Throw - F31/32/51,Arremesso do club masculino - F31/32/51,Men's Club Throw - F31/32/51,Arremesso do club masculino - F31/32/51,N
AT,M,311,65,Men's Shot Put - F11/12,Arremesso do peso masculino - F11/12,Men's Shot Put - F11/12,Arremesso do peso masculino - F11/12,N
AT,M,313,66,Men's Shot Put - F20,Arremesso do peso masculino - F20,Men's Shot Put - F20,Arremesso do peso masculino - F20,N
AT,M,331,67,Men's Shot Put - F37/38,Arremesso do peso masculino - F37/38,Men's Shot Put - F37/38,Arremesso do peso masculino - F37/38,N
AT,M,333,68,Men's Shot Put - F32/33,Arremesso do peso masculino - F32/33,Men's Shot Put - F32/33,Arremesso do peso masculino - F32/33,N
AT,M,334,69,Men's Shot Put - F34,Arremesso do peso masculino - F34,Men's Shot Put - F34,Arremesso do peso masculino - F34,N
AT,M,340,70,Men's Shot Put - F40,Arremesso do peso masculino - F40,Men's Shot Put - F40,Arremesso do peso masculino - F40,N
AT,M,342,71,Men's Shot Put - F42/44,Arremesso do peso masculino - F42/44,Men's Shot Put - F42/44,Arremesso do peso masculino - F42/44,N
AT,M,346,72,Men's Shot Put - F46,Arremesso do peso masculino - F46,Men's Shot Put - F46,Arremesso do peso masculino - F46,N
AT,M,352,73,Men's Shot Put - F52/53,Arremesso do peso masculino - F52/53,Men's Shot Put - F52/53,Arremesso do peso masculino - F52/53,N
AT,M,361,74,Men's Shot Put - F54/55/56,Arremesso do peso masculino - F54/55/56,Men's Shot Put - F54/55/56,Arremesso do peso masculino - F54/55/56,N
AT,M,370,75,Men's Shot Put - F57/58,Arremesso do peso masculino - F57/58,Men's Shot Put - F57/58,Arremesso do peso masculino - F57/58,N
AT,M,411,29,Men's 400m - T11,400m rasos masculino - T11,Men's 400m - T11,400m rasos masculino - T11,N
AT,M,412,30,Men's 400m - T12,400m rasos masculino - T12,Men's 400m - T12,400m rasos masculino - T12,N
AT,M,413,31,Men's 400m - T13,400m rasos masculino - T13,Men's 400m - T13,400m rasos masculino - T13,N
AT,M,430,32,Men's 400m - T36,400m rasos masculino - T36,Men's 400m - T36,400m rasos masculino - T36,N
AT,M,431,33,Men's 400m - T38,400m rasos masculino - T38,Men's 400m - T38,400m rasos masculino - T38,N
AT,M,440,34,Men's 400m - T44,400m rasos masculino - T44,Men's 400m - T44,400m rasos masculino - T44,N
AT,M,441,35,Men's 400m - T46,400m rasos masculino - T46,Men's 400m - T46,400m rasos masculino - T46,N
AT,M,450,36,Men's 400m - T52,400m rasos masculino - T52,Men's 400m - T52,400m rasos masculino - T52,N
AT,M,453,37,Men's 400m - T53,400m rasos masculino - T53,Men's 400m - T53,400m rasos masculino - T53,N
AT,M,454,38,Men's 400m - T54,400m rasos masculino - T54,Men's 400m - T54,400m rasos masculino - T54,N
AT,M,511,53,Men's 5000m - T11,5.000m rasos masculino - T11,Men's 5000m - T11,5.000m rasos masculino - T11,N
AT,M,512,54,Men's 5000m - T12,5.000m rasos masculino - T12,Men's 5000m - T12,5.000m rasos masculino - T12,N
AT,M,554,55,Men's 5000m - T54,5.000m rasos masculino - T54,Men's 5000m - T54,5.000m rasos masculino - T54,N
AT,M,560,47,Men's 1500m - T13,1.500m rasos masculino - T13,Men's 1500m - T13,1.500m rasos masculino - T13,N
AT,M,561,48,Men's 1500m - T11,1.500m rasos masculino - T11,Men's 1500m - T11,1.500m rasos masculino - T11,N
AT,M,564,49,Men's 1500m - T37,1.500m rasos masculino - T37,Men's 1500m - T37,1.500m rasos masculino - T37,N
