Discipline,Gender,ENG Description,KOR Description,Old DDG
ALP,-,Global,KOR,AS0
ALP,M,Men,KOR,ASM
ALP,W,Ladies,KOR,ASW
ART,-,Global,KOR,AF0
BTH,-,Global,KOR,BT0
BTH,M,Men,KOR,BTM
BTH,W,Women,KOR,BTW
CCS,-,Global,KOR,CC0
CCS,M,Men,KOR,CCM
CCS,O,Mixed,KOR,CCX
CCS,W,Ladies,KOR,CCW
CCS,X,Mixed,KOR,CCX
CER,-,Global,KOR,CE0
GEN,-,Global,KOR,GL0
GEN,M,Men,KOR,GLM
GEN,O,Open,KOR,GLX
GEN,W,Women,KOR,GLW
IOC,-,Global,KOR,IA0
ISH,-,Global,KOR,IH0
ISH,O,Mixed,KOR,IHX
NSK,-,Global,KOR,NS0
OLV,-,Global,KOR,OV0
PCO,-,Global,KOR,PC0
SBD,-,Global,KOR,SB0
SBD,M,Men,KOR,SBM
SBD,W,Ladies,KOR,SBW
TRU,-,Global,KOR,UT0
WCU,-,Global,KOR,CU0
WCU,X,Mixed,KOR,CUX
