Id,competition,ENG Description,KOR Description,ENG longdescription,KOR longdescription,IndoorOutdoor,Cluster,City
ABT,Y,Alpensia Biathlon Centre,알펜시아 바이애슬론 센터,Alpensia Biathlon Centre,알펜시아 바이애슬론 센터,,PYE,PyeongChang
ACC,Y,Alpensia Cross-Ctry Ctr,알펜시아 크로스컨트리 센터,Alpensia Cross-Country Centre,알펜시아 크로스컨트리 센터,,PYE,PyeongChang
AMC,N,Asan Medical Centre,서울아산병원,Asan Medical Centre,서울아산병원,,SEO,Seoul
ASJ,Y,Alpensia Ski Jumping Ctr,알펜시아 스키점프 센터,Alpensia Ski Jumping Centre,알펜시아 스키점프 센터,,PYE,PyeongChang
ASL,Y,Alpensia Sliding Centre,알펜시아 슬라이딩 센터,Alpensia Sliding Centre,알펜시아 슬라이딩 센터,,PYE,PyeongChang
ATC,N,Alternate TOC,보조 기술운영센터,Alternate Technology Operations Centre,보조 기술운영센터,,GNG,Gangneung 
BKC,Y,Bokwang Snow Park (C),보광 스노 경기장(C),Bokwang Snow Park (C),보광 스노 경기장(C),,PYE,PyeongChang
BKP,Y,Bokwang Snow Park (P),보광 스노 경기장(P),Bokwang Snow Park (P),보광 스노 경기장(P),,PYE,PyeongChang
CAC,N,Coastal Accreditation Ctr,코스탈 클러스터 유니폼배부 및 메인 등록센터,Coastal Accreditation Centre,코스탈 클러스터 유니폼배부 및 메인 등록센터,,GNG,Gangneung 
CBC,N,Coastal Broadcast Centre ,코스탈 방송 센터,Coastal Broadcast Centre ,코스탈 방송 센터,,GNG,Gangneung 
CST,N,Coastal Superstore,코스탈 슈퍼스토어,Coastal Superstore,코스탈 슈퍼스토어,,GNG,Gangneung 
CTO,N,Coastal Ticketing Outlet,코스탈 입장권판매점,Coastal Ticketing Outlet,코스탈 입장권판매점,,GNG,Gangneung 
EDC,N,Equipment Deployment Ctr,장비분배센터,IT Equipment Deployment Centre,장비분배센터,,,
GAH,N,Gangneung Asan Hospital,강릉아산병원,Gangneung Asan Hospital,강릉아산병원,,GNG,Gangneung 
GCC,Y,Gangneung Curling Centre,강릉 컬링 센터,Gangneung Curling Centre,강릉 컬링 센터,,GNG,Gangneung 
GHC,Y,Gangneung Hockey Centre,강릉 하키 센터,Gangneung Hockey Centre,강릉 하키 센터,,GNG,Gangneung 
GHT,N,Gangneung Hockey Training,강릉 하키 연습경기장,Gangneung Hockey Training Centre,강릉 하키 연습경기장,,GNG,Gangneung 
GIA,Y,Gangneung Ice Arena,강릉 아이스 아레나,Gangneung Ice Arena,강릉 아이스 아레나,,GNG,Gangneung 
GMP,N,Gimpo Int'l Airport,김포국제공항,Gimpo International Airport,김포국제공항,,SEO,Seoul
GMV,N,Gangneung Media Village,강릉 미디어촌,Gangneung Media Village,강릉 미디어촌,,GNG,Gangneung 
