Function,Discipline,Order,Category,ENG Description,KOR Description,Partic,Results
AA01,ALP,0,A,Athlete,KOR,,
AR,ALP,5,J,Assistant Referee,KOR,,
COMP_CHF,ALP,3,J,Chief of Race,KOR,,
CRS_SET,ALP,9,J,Course Setter,KOR,,
FSH_RE,ALP,7,J,Finish Referee,KOR,,
RCE_DIR,ALP,2,J,IPCAS Race Director,KOR,,
RE,ALP,4,J,Referee,KOR,,
STR_RE,ALP,6,J,Start Referee,KOR,,
TCH_DEL,ALP,1,J,Technical Delegate,KOR,,
VID,ALP,8,J,Video Controller,KOR,,
AA01,BTH,0,A,Athlete,KOR,,
COMP_CHF,BTH,5,J,Chief of Competition,KOR,,
JUR_ME,BTH,4,J,IPC Jury Member,KOR,,
RCE_DIR,BTH,3,J,IPC Race Director,KOR,,
TCH_DEL,BTH,1,J,IPC Technical Delegate,KOR,,
TCH_DELA,BTH,2,J,IPC Assistant Technical Delegate,KOR,,
AA01,CCS,0,A,Athlete,KOR,,
COMP_CHF,CCS,5,J,Chief of Competition,KOR,,
JUR_ME,CCS,4,J,IPC Jury Member,KOR,,
RCE_DIR,CCS,3,J,IPC Race Director,KOR,,
TCH_DEL,CCS,1,J,IPC Technical Delegate,KOR,,
TCH_DELA,CCS,2,J,IPC Assistant Technical Delegate,KOR,,
AA01,ISH,0,A,Athlete,KOR,,
AST_COA,ISH,,C,Assistant Coach,KOR,,
COACH,ISH,,C,Head Coach,KOR,,
DOCTOR,ISH,,T,Team Doctor,KOR,,
FIT_COA,ISH,,C,Fitness Coach,KOR,,
GOAL_COA,ISH,,C,Goaltending Coach,KOR,,
GOAL_J,ISH,,J,Goal Judge,KOR,,
LIN_MEN,ISH,,J,Linesman,KOR,,
PHYSIO,ISH,,T,Physiotherapist,KOR,,
RE,ISH,,J,Referee,KOR,,
TM_EQUIP,ISH,,T,Equipment Manager,KOR,,
TM_MGR,ISH,,T,General Manager,KOR,,
TM_OFFIC,ISH,,T,Team Leader,KOR,,
VID_COA,ISH,,C,Video Coach,KOR,,
AA01,SBD,0,A,Athlete,KOR,,
CHF_BS,SBD,,J,Chief of Banked Slalom,KOR,,
CHF_SBX,SBD,,J,Chief of Snowboard Cross,KOR,,
COMP_CHF,SBD,,J,Chief of Competition,KOR,,
CRS_BLD,SBD,,S,Course Builder,KOR,,
CRS_SET,SBD,,S,Course Setter,KOR,,
FSH_RE,SBD,,J,Finish Referee,KOR,,
RE,SBD,,J,Referee,KOR,,
RCE_DIR,SBD,,J,Race Director,KOR,,
STR_RE,SBD,,J,Start Referee,KOR,,
TCH_DEL,SBD,,J,Technical Delegate,KOR,,
VID,SBD,,J,Video Controller,KOR,,
AA01,WCU,0,A,Athlete,KOR,,
COACH,WCU,,C,Coach,KOR,,
COACH_NA,WCU,,T,National Coach,KOR,,
ICE_AST,WCU,,S,Deputy Chief Ice Technician,KOR,,
ICE_TCH,WCU,,S,Chief Ice Technician,KOR,,
TK,WCU,,J,Chief Timer,KOR,,
TK_AST,WCU,,J,Deputy Chief Timer,KOR,,
TM_MGR,WCU,,T,Team Leader,KOR,,
TM_OFFIC,WCU,,T,Team Official,KOR,,
TRANSL,WCU,,T,Translator,KOR,,
UC,WCU,,J,Chief Umpire,KOR,,
UDC,WCU,,J,Deputy Chief Umpire,KOR,,
UM,WCU,,J,Game Umpire,KOR,,
