Discipline,Gender,Event,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Team Event,Old DDGEEE
ALP,W,DH------09110-----,1,"Women's Downhill, Standing",KOR,"Women's Downhill, Standing",KOR,N,ASW110
ALP,W,DH------12050-----,2,"Women's Downhill, Sitting",KOR,"Women's Downhill, Sitting",KOR,N,ASW210
ALP,W,DH------03030-----,3,"Women's Downhill, Visually Impaired",KOR,"Women's Downhill, Visually Impaired",KOR,N,ASW310
ALP,W,SL------09110-----,4,"Women's Slalom, Standing",KOR,"Women's Slalom, Standing",KOR,N,ASW120
ALP,W,SL------12050-----,5,"Women's Slalom, Sitting",KOR,"Women's Slalom, Sitting",KOR,N,ASW220
ALP,W,SL------03030-----,6,"Women's Slalom, Visually Impaired",KOR,"Women's Slalom, Visually Impaired",KOR,N,ASW320
ALP,W,GS------09110-----,7,"Women's Giant Slalom, Standing",KOR,"Women's Giant Slalom, Standing",KOR,N,ASW130
ALP,W,GS------12050-----,8,"Women's Giant Slalom, Sitting",KOR,"Women's Giant Slalom, Sitting",KOR,N,ASW230
ALP,W,GS------03030-----,9,"Women's Giant Slalom, Visually Impaired",KOR,"Women's Giant Slalom, Visually Impaired",KOR,N,ASW330
ALP,W,SG------09110-----,10,"Women's Super-G, Standing",KOR,"Women's Super-G, Standing",KOR,N,ASW140
ALP,W,SG------12050-----,11,"Women's Super-G, Sitting",KOR,"Women's Super-G, Sitting",KOR,N,ASW240
ALP,W,SG------03030-----,12,"Women's Super-G, Visually Impaired",KOR,"Women's Super-G, Visually Impaired",KOR,N,ASW340
ALP,W,AC------09110-----,13,"Women's Combined, Standing",KOR,"Women's Combined, Standing",KOR,N,ASW160
ALP,W,AC------12050-----,14,"Women's Combined, Sitting",KOR,"Women's Combined, Sitting",KOR,N,ASW260
ALP,W,AC------03030-----,15,"Women's Combined, Visually Imp",KOR,"Women's Combined, Visually Imp",KOR,N,ASW360
ALP,M,DH------09110-----,16,"Men's Downhill, Standing",KOR,"Men's Downhill, Standing",KOR,N,ASM110
ALP,M,DH------12050-----,17,"Men's Downhill, Sitting",KOR,"Men's Downhill, Sitting",KOR,N,ASM210
ALP,M,DH------03030-----,18,"Men's Downhill, Visually Impaired",KOR,"Men's Downhill, Visually Impaired",KOR,N,ASM310
ALP,M,SL------09110-----,19,"Men's Slalom, Standing",KOR,"Men's Slalom, Standing",KOR,N,ASM120
ALP,M,SL------12050-----,20,"Men's Slalom, Sitting",KOR,"Men's Slalom, Sitting",KOR,N,ASM220
ALP,M,SL------03030-----,21,"Men's Slalom, Visually Impaired",KOR,"Men's Slalom, Visually Impaired",KOR,N,ASM320
ALP,M,GS------09110-----,22,"Men's Giant Slalom, Standing",KOR,"Men's Giant Slalom, Standing",KOR,N,ASM130
