Discipline,Gender,Event,phase,Eventunit,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,KOR unit Description,Old unit
ALP,-,------------------,----,--------,Alpine Skiing,KOR,Alpine Skiing,KOR,Discipline,,N,0,NONE,N,N,,,AS0000000
ALP,-,------------------,----,YAL-----,ALP YAL Local On/Off / KA,KOR,ALP YAL Local On/Off / KA,KOR,Venue,,N,0,NONE,N,N,,,
ALP,-,------------------,MEET,000100--,Alpine Skiing TCM,KOR,Alpine Skiing Team Captain Meeting,KOR,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,KOR,AS0000T01
ALP,-,------------------,MEET,000200--,Alpine Skiing TCM,KOR,Alpine Skiing Team Captain Meeting,KOR,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,KOR,AS0000T02
ALP,-,------------------,MEET,000300--,Alpine Skiing TCM,KOR,Alpine Skiing Team Captain Meeting,KOR,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,KOR,AS0000T03
ALP,-,------------------,MEET,000400--,Alpine Skiing TCM,KOR,Alpine Skiing Team Captain Meeting,KOR,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,KOR,AS0000T04
ALP,-,------------------,MEET,000500--,Alpine Skiing TCM,KOR,Alpine Skiing Team Captain Meeting,KOR,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,KOR,AS0000T05
ALP,-,------------------,MEET,000600--,Alpine Skiing TCM,KOR,Alpine Skiing Team Captain Meeting,KOR,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,KOR,AS0000T06
ALP,-,------------------,MEET,000700--,Alpine Skiing TCM,KOR,Alpine Skiing Team Captain Meeting,KOR,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,KOR,AS0000T07
ALP,-,------------------,MEET,000800--,Alpine Skiing TCM,KOR,Alpine Skiing Team Captain Meeting,KOR,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,KOR,AS0000T08
ALP,-,------------------,MEET,000900--,Alpine Skiing TCM,KOR,Alpine Skiing Team Captain Meeting,KOR,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,KOR,AS0000T09
ALP,-,------------------,MEET,001000--,Alpine Skiing TCM,KOR,Alpine Skiing Team Captain Meeting,KOR,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,KOR,AS0000T10
