Discipline,Gender,Event,phase,type,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,ENG phase Description,KOR phase Description,Old DDGEEEP
ALP,-,------------------,----,8,,Alpine Skiing,KOR,Alpine Skiing,KOR,,,AS00000
ALP,-,------------------,MEET,9,M,"Alpine Skiing, Team Captain Meeting",KOR,"Alpine Skiing, Team Captain Meeting",KOR,Team Captain Meeting,KOR,AS0000T
ALP,M,------------------,----,8,,Men's Alpine Skiing,KOR,Men's Alpine Skiing,KOR,,,ASM0000
ALP,M,AC----------------,----,8,,Men's Combined,KOR,Men's Combined,KOR,,,ASM0600
ALP,M,AC------03030-----,----,8,,"Men's Combined, Visually Impaired",KOR,"Men's Combined, Visually Impaired",KOR,,,ASM3600
ALP,M,AC------03030-----,DRAW,7,D,"Men's Combined, Visually Impaired, Draw",KOR,"Men's Combined, Visually Impaired, Draw",KOR,Draw,KOR,ASM360E
ALP,M,AC------03030-----,FNL-,3,1,"Men's Combined, Visually Impaired",KOR,"Men's Combined, Visually Impaired",KOR,,,ASM3601
ALP,M,AC------03030-----,TRNO,1,T,"Men's Combined, Vis Imp, Downhill Train",KOR,"Men's Combined, Visually Impaired, Downhill Training",KOR,Downhill Training,KOR,ASM360O
ALP,M,AC------03030-----,VICT,6,V,"Men's Combined, Vis Imp, Vict. Ceremony",KOR,"Men's Combined, Visually Impaired, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM360M
ALP,M,AC------09110-----,----,8,,"Men's Combined, Standing",KOR,"Men's Combined, Standing",KOR,,,ASM1600
ALP,M,AC------09110-----,DRAW,7,D,"Men's Combined, Standing, Draw",KOR,"Men's Combined, Standing, Draw",KOR,Draw,KOR,ASM160E
ALP,M,AC------09110-----,FNL-,3,1,"Men's Combined, Standing",KOR,"Men's Combined, Standing",KOR,,,ASM1601
ALP,M,AC------09110-----,TRNO,1,T,"Men's Combined, Standing, Downhill Train",KOR,"Men's Combined, Standing, Downhill Training",KOR,Downhill Training,KOR,ASM160O
ALP,M,AC------09110-----,VICT,6,V,"Men's Combined, Standing, Vict. Ceremony",KOR,"Men's Combined, Standing, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM160M
ALP,M,AC------12050-----,----,8,,"Men's Combined, Sitting",KOR,"Men's Combined, Sitting",KOR,,,ASM2600
ALP,M,AC------12050-----,DRAW,7,D,"Men's Combined, Sitting, Draw",KOR,"Men's Combined, Sitting, Draw",KOR,Draw,KOR,ASM260E
ALP,M,AC------12050-----,FNL-,3,1,"Men's Combined, Sitting",KOR,"Men's Combined, Sitting",KOR,,,ASM2601
ALP,M,AC------12050-----,TRNO,1,T,"Men's Combined, Sitting, Downhill Train",KOR,"Men's Combined, Sitting, Downhill Training",KOR,Downhill Training,KOR,ASM260O
ALP,M,AC------12050-----,VICT,6,V,"Men's Combined, Sitting, Vict. Ceremony",KOR,"Men's Combined, Sitting, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM260M
ALP,M,DH----------------,----,8,,Men's Downhill,KOR,Men's Downhill,KOR,,,ASM0100
ALP,M,DH----------------,TRNO,1,T,"Men's Downhill, Training Run",KOR,"Men's Downhill, Training Run",KOR,Training Run,KOR,ASM010O
ALP,M,DH------03030-----,----,8,,"Men's Downhill, Visually Impaired",KOR,"Men's Downhill, Visually Impaired",KOR,,,ASM3100
ALP,M,DH------03030-----,DRAW,7,D,"Men's Downhill, Vis Imp, Draw",KOR,"Men's Downhill, Visually Impaired, Draw",KOR,Draw,KOR,ASM310E
ALP,M,DH------03030-----,FNL-,3,1,"Men's Downhill, Visually Impaired",KOR,"Men's Downhill, Visually Impaired",KOR,,,ASM3101
ALP,M,DH------03030-----,TRNO,1,T,"Men's Downhill, Vis Imp, Trng Run",KOR,"Men's Downhill, Visually Impaired, Training Run",KOR,Training Run,KOR,ASM310O
ALP,M,DH------03030-----,VICT,6,V,"Men's Downhill, Vis Imp, Vict. Ceremony",KOR,"Men's Downhill, Visually Impaired, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM310M
ALP,M,DH------09110-----,----,8,,"Men's Downhill, Standing",KOR,"Men's Downhill, Standing",KOR,,,ASM1100
ALP,M,DH------09110-----,DRAW,7,D,"Men's Downhill, Standing, Draw",KOR,"Men's Downhill, Standing, Draw",KOR,Draw,KOR,ASM110E
ALP,M,DH------09110-----,FNL-,3,1,"Men's Downhill, Standing",KOR,"Men's Downhill, Standing",KOR,,,ASM1101
ALP,M,DH------09110-----,TRNO,1,T,"Men's Downhill, Standing, Trng Run",KOR,"Men's Downhill, Standing, Training Run",KOR,Training Run,KOR,ASM110O
ALP,M,DH------09110-----,VICT,6,V,"Men's Downhill, Standing, Vict. Cer.",KOR,"Men's Downhill, Standing, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM110M
ALP,M,DH------12050-----,----,8,,"Men's Downhill, Sitting",KOR,"Men's Downhill, Sitting",KOR,,,ASM2100
ALP,M,DH------12050-----,DRAW,7,D,"Men's Downhill, Sitting, Draw",KOR,"Men's Downhill, Sitting, Draw",KOR,Draw,KOR,ASM210E
ALP,M,DH------12050-----,FNL-,3,1,"Men's Downhill, Sitting",KOR,"Men's Downhill, Sitting",KOR,,,ASM2101
ALP,M,DH------12050-----,TRNO,1,T,"Men's Downhill, Sitting, Trng Run",KOR,"Men's Downhill, Sitting, Trng Run",KOR,Training Run,KOR,ASM210O
ALP,M,DH------12050-----,VICT,6,V,"Men's Downhill, Sitting, Vict. Ceremony",KOR,"Men's Downhill, Sitting, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM210M
ALP,M,GS----------------,----,8,,Men's Giant Slalom,KOR,Men's Giant Slalom,KOR,,,ASM0300
ALP,M,GS------03030-----,----,8,,"Men's Giant Slalom, Visually Impaired",KOR,"Men's Giant Slalom, Visually Impaired",KOR,,,ASM3300
ALP,M,GS------03030-----,DRAW,7,D,"Men's G Slalom, Vis Imp, Draw",KOR,"Men's Giant Slalom, Visually Impaired, Draw",KOR,Draw,KOR,ASM330E
ALP,M,GS------03030-----,FNL-,3,1,"Men's Giant Slalom, Visually Impaired",KOR,"Men's Giant Slalom, Visually Impaired",KOR,,,ASM3301
ALP,M,GS------03030-----,VICT,6,V,"Men's G Slalom, Vis Imp, Vict. Ceremony",KOR,"Men's Giant Slalom, Visually Impaired, Victory Ceremony",KOR,Victory Ceremony,KOR,ASM330M
ALP,M,GS------09110-----,----,8,,"Men's Giant Slalom, Standing",KOR,"Men's Giant Slalom, Standing",KOR,,,ASM1300
ALP,M,GS------09110-----,DRAW,7,D,"Men's Giant Slalom, Standing, Draw",KOR,"Men's Giant Slalom, Standing, Draw",KOR,Draw,KOR,ASM130E
ALP,M,GS------09110-----,FNL-,3,1,"Men's Giant Slalom, Standing",KOR,"Men's Giant Slalom, Standing",KOR,,,ASM1301
