Function,Discipline,Order,Category,ENG Description,KOR Description,Partic,Results
AA01,ALP,0,A,Athlete,선수,,
AB01,ALP,1,G,Guide,가이드,,
AR,ALP,6,J,Assistant Referee,어시스턴트 레프리,,
COMP_CHF,ALP,4,J,Chief of Race,경기위원장,,
CRS_SET,ALP,10,J,Course Setter,코스 세터,,
FSH_RE,ALP,8,J,Finish Referee,피니시 레프리,,
RCE_DIR,ALP,3,J,WPAS Race Director,WPAS 레이스 디렉터,,
RE,ALP,5,J,Referee,레프리,,
STR_RE,ALP,7,J,Start Referee,스타트 레프리,,
TCH_DEL,ALP,2,J,Technical Delegate,기술대표(TD),,
VID,ALP,9,J,Video Controller,비디오 컨트롤러,,
AA01,BTH,0,A,Athlete,선수,,
AB01,BTH,1,G,Guide,가이드,,
COMP_CHF,BTH,6,J,Chief of Competition,경기위원장,,
JUR_ME,BTH,5,J,Jury Member,심판위원,,
RCE_DIR,BTH,4,J,WPNS Race Director,WPNS 레이스 디렉터,,
TCH_DEL,BTH,2,J,Technical Delegate,기술대표(TD),,
TCH_DELA,BTH,3,J,Assistant Technical Delegate,어시스턴트 기술대표,,
AA01,CCS,0,A,Athlete,선수,,
AB01,CCS,1,G,Guide,가이드,,
COMP_CHF,CCS,6,J,Chief of Competition,경기위원장,,
CRS_CHF,CCS,7,J,Chief of Course,코스 위원장,,
JUR_ME,CCS,5,J,Jury Member,심판위원,,
RCE_DIR,CCS,4,J,WPNS Race Director,WPNS 레이스 디렉터,,
TCH_DEL,CCS,2,J,Technical Delegate,기술대표(TD),,
TCH_DELA,CCS,3,J,Assistant Technical Delegate,어시스턴트 기술대표,,
AA01,CUR,0,A,Athlete,선수,,
AST_COA,CUR,2,C,2nd Team Coach,2군 팀 코치,,
COACH,CUR,1,C,Coach,코치 ,,
COACH_NA,CUR,3,T,National Coach,대표팀 코치,,
ICE_AST,CUR,,S,Deputy Chief Ice Technician,데퓨티 치프 아이스 테크니션,,
ICE_TCH,CUR,,S,Chief Ice Technician,치프 아이스 테크니션,,
TK,CUR,,J,Chief Timer,치프 타이머,,
TK_AST,CUR,,J,Deputy Chief Timer,데퓨티 치프 타이머,,
TM_MGR,CUR,4,T,Team Leader,팀 리더,,
TM_OFFIC,CUR,5,T,Team Official,팀 임원,,
TRANSL,CUR,6,T,Translator,통역사,,
UC,CUR,,J,Chief Umpire,심판치프,,
UDC,CUR,,J,Deputy Chief Umpire,데퓨티 심판치프,,
UM,CUR,,J,Game Umpire,경기 심판,,
AA01,ISH,0,A,Athlete,선수,,
AST_COA,ISH,2,C,Team Assistant Coach,팀 코치 ,,
CHAIR,ISH,,J,Tournament Chairman,토너먼트 체어맨,,
COACH,ISH,1,C,Team Head Coach,팀 감독,,
DISC_J,ISH,,J,Disciplinary Judge,징계위원회 저지,,
DOCTOR,ISH,6,T,Team Doctor,팀 닥터,,
FIT_COA,ISH,13,C,Fitness Coach,피트니스 코치,,
GOAL_COA,ISH,12,C,Goaltending Coach,골키퍼 코치,,
LIN_MEN,ISH,,J,Linesman,선심,,
MED_SPV,ISH,,J,Medical Supervisor,메디컬 수퍼바이저,,
MEDIC,ISH,8,T,Team Medical Officer,팀 메디컬 오피서,,
OFFIC,ISH,,J,Technical Official,기술위원,,
PHYSIO,ISH,7,T,Team Physiotherapist,팀 물리치료사,,
RE,ISH,,J,Referee,주심,,
RFR_SPV,ISH,,J,Referee Supervisor,레프리 수퍼바이저,,
RM,ISH,,J,Result Manager,결과 매니저,,
SCR_KPR,ISH,,J,Scorekeeper,스코어키퍼,,
TCH_DEL,ISH,,J,IIHF Technical Delegate,IIHF 기술임원(TD),,
TK,ISH,,J,Timekeeper,타임키퍼,,
TM_EQUIP,ISH,5,T,Team Equipment Manager,팀 장비 매니저,,
TM_MEDIA,ISH,11,T,Team Media Manager,팀 미디어 매니저,,
TM_MGR,ISH,3,T,Team General Manager,팀 총괄 매니저,,
TM_OFFIC,ISH,4,T,Team Leader,팀 임원,,
TM_STF,ISH,10,T,Team Staff,팀 직원,,
VID_COA,ISH,9,C,Team Video Coach,팀 비디오 코치,,
AA01,SBD,0,A,Athlete,선수,,
CHF_BS,SBD,,J,Chief of Banked Slalom,뱅크드 슬라롬 치프,,
CHF_SBX,SBD,,J,Chief of Snowboard Cross,스노보드 크로스 치프,,
COMP_CHF,SBD,,J,Chief of Competition,경기위원장,,
CRS_BLD,SBD,,S,Course Builder,코스 빌더,,
CRS_SET,SBD,,S,Course Setter,코스 세터,,
FSH_RE,SBD,,J,Finish Referee,피니시 레프리,,
RE,SBD,,J,Referee,레프리,,
RCE_DIR,SBD,,J,WPSB Race Director,WPSB 레이스 디렉터,,
STR_RE,SBD,,J,Start Referee,스타트 레프리,,
TCH_DEL,SBD,,J,Technical Delegate,기술대표(TD),,
VID,SBD,,J,Video Controller,비디오 컨트롤러,,
