Discipline,Gender,Event,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Team Event,Old DDGEEE
ALP,W,DH------09110-----,1,"Women's Downhill, Standing","여자 활강, 입식","Women's Downhill, Standing","여자 활강, 입식",N,ASW110
ALP,W,DH------12050-----,2,"Women's Downhill, Sitting","여자 활강, 좌식","Women's Downhill, Sitting","여자 활강, 좌식",N,ASW210
ALP,W,DH------03030-----,3,"Women's Downhill, Visually Impaired","여자 활강, 시각 장애","Women's Downhill, Visually Impaired","여자 활강, 시각 장애",N,ASW310
ALP,W,SL------09110-----,4,"Women's Slalom, Standing","여자 회전, 입식","Women's Slalom, Standing","여자 회전, 입식",N,ASW120
ALP,W,SL------12050-----,5,"Women's Slalom, Sitting","여자 회전, 좌식","Women's Slalom, Sitting","여자 회전, 좌식",N,ASW220
ALP,W,SL------03030-----,6,"Women's Slalom, Visually Impaired","여자 회전, 시각 장애","Women's Slalom, Visually Impaired","여자 회전, 시각 장애",N,ASW320
ALP,W,GS------09110-----,7,"Women's Giant Slalom, Standing","여자 대회전, 입식","Women's Giant Slalom, Standing","여자 대회전, 입식",N,ASW130
ALP,W,GS------12050-----,8,"Women's Giant Slalom, Sitting","여자 대회전, 좌식","Women's Giant Slalom, Sitting","여자 대회전, 좌식",N,ASW230
ALP,W,GS------03030-----,9,"Women's Giant Slalom, Visually Impaired","여자 대회전, 시각 장애","Women's Giant Slalom, Visually Impaired","여자 대회전, 시각 장애",N,ASW330
ALP,W,SG------09110-----,10,"Women's Super-G, Standing","여자 슈퍼대회전, 입식","Women's Super-G, Standing","여자 슈퍼대회전, 입식",N,ASW140
ALP,W,SG------12050-----,11,"Women's Super-G, Sitting","여자 슈퍼대회전, 좌식","Women's Super-G, Sitting","여자 슈퍼대회전, 좌식",N,ASW240
ALP,W,SG------03030-----,12,"Women's Super-G, Visually Impaired","여자 슈퍼대회전, 시각 장애","Women's Super-G, Visually Impaired","여자 슈퍼대회전, 시각 장애",N,ASW340
ALP,W,AC------09110-----,13,"Women's Super Combined, Standing","여자 슈퍼복합, 입식","Women's Super Combined, Standing","여자 슈퍼복합, 입식",N,ASW160
ALP,W,AC------12050-----,14,"Women's Super Combined, Sitting","여자 슈퍼복합, 좌식","Women's Super Combined, Sitting","여자 슈퍼복합, 좌식",N,ASW260
ALP,W,AC------03030-----,15,"Women's Super Combined, Visually Imp","여자 슈퍼복합, 시각장애","Women's Super Combined, Visually Impaired","여자 슈퍼복합, 시각장애",N,ASW360
ALP,M,DH------09110-----,16,"Men's Downhill, Standing","남자 활강, 입식","Men's Downhill, Standing","남자 활강, 입식",N,ASM110
ALP,M,DH------12050-----,17,"Men's Downhill, Sitting","남자 활강, 좌식","Men's Downhill, Sitting","남자 활강, 좌식",N,ASM210
ALP,M,DH------03030-----,18,"Men's Downhill, Visually Impaired","남자 활강, 시각 장애","Men's Downhill, Visually Impaired","남자 활강, 시각 장애",N,ASM310
ALP,M,SL------09110-----,19,"Men's Slalom, Standing","남자 회전, 입식","Men's Slalom, Standing","남자 회전, 입식",N,ASM120
