Discipline,Gender,Event,Class
ALP,M,DH------09110-----,LW1
ALP,M,DH------09110-----,LW2
ALP,M,DH------09110-----,LW3
ALP,M,DH------09110-----,LW4
ALP,M,DH------09110-----,LW5/7-1
ALP,M,DH------09110-----,LW5/7-2
ALP,M,DH------09110-----,LW5/7-3
ALP,M,DH------09110-----,LW6/8-1
ALP,M,DH------09110-----,LW6/8-2
ALP,M,DH------09110-----,LW9-1
ALP,M,DH------09110-----,LW9-2
ALP,M,DH------12050-----,LW10-1
ALP,M,DH------12050-----,LW10-2
ALP,M,DH------12050-----,LW11
ALP,M,DH------12050-----,LW12-1
ALP,M,DH------12050-----,LW12-2
ALP,M,DH------03030-----,B1
ALP,M,DH------03030-----,B2
ALP,M,DH------03030-----,B3
ALP,M,SL------09110-----,LW1
ALP,M,SL------09110-----,LW2
ALP,M,SL------09110-----,LW3
ALP,M,SL------09110-----,LW4
ALP,M,SL------09110-----,LW5/7-1
ALP,M,SL------09110-----,LW5/7-2
ALP,M,SL------09110-----,LW5/7-3
ALP,M,SL------09110-----,LW6/8-1
ALP,M,SL------09110-----,LW6/8-2
ALP,M,SL------09110-----,LW9-1
ALP,M,SL------09110-----,LW9-2
ALP,M,SL------12050-----,LW10-1
ALP,M,SL------12050-----,LW10-2
ALP,M,SL------12050-----,LW11
ALP,M,SL------12050-----,LW12-1
ALP,M,SL------12050-----,LW12-2
ALP,M,SL------03030-----,B1
ALP,M,SL------03030-----,B2
ALP,M,SL------03030-----,B3
ALP,M,GS------09110-----,LW1
ALP,M,GS------09110-----,LW2
ALP,M,GS------09110-----,LW3
ALP,M,GS------09110-----,LW4
ALP,M,GS------09110-----,LW5/7-1
ALP,M,GS------09110-----,LW5/7-2
ALP,M,GS------09110-----,LW5/7-3
ALP,M,GS------09110-----,LW6/8-1
ALP,M,GS------09110-----,LW6/8-2
ALP,M,GS------09110-----,LW9-1
ALP,M,GS------09110-----,LW9-2
ALP,M,GS------12050-----,LW10-1
ALP,M,GS------12050-----,LW10-2
ALP,M,GS------12050-----,LW11
ALP,M,GS------12050-----,LW12-1
ALP,M,GS------12050-----,LW12-2
ALP,M,GS------03030-----,B1
ALP,M,GS------03030-----,B2
ALP,M,GS------03030-----,B3
ALP,M,SG------09110-----,LW1
ALP,M,SG------09110-----,LW2
ALP,M,SG------09110-----,LW3
ALP,M,SG------09110-----,LW4
ALP,M,SG------09110-----,LW5/7-1
ALP,M,SG------09110-----,LW5/7-2
ALP,M,SG------09110-----,LW5/7-3
ALP,M,SG------09110-----,LW6/8-1
ALP,M,SG------09110-----,LW6/8-2
ALP,M,SG------09110-----,LW9-1
ALP,M,SG------09110-----,LW9-2
ALP,M,SG------12050-----,LW10-1
ALP,M,SG------12050-----,LW10-2
ALP,M,SG------12050-----,LW11
ALP,M,SG------12050-----,LW12-1
ALP,M,SG------12050-----,LW12-2
ALP,M,SG------03030-----,B1
ALP,M,SG------03030-----,B2
ALP,M,SG------03030-----,B3
ALP,M,AC------09110-----,LW1
ALP,M,AC------09110-----,LW2
ALP,M,AC------09110-----,LW3
ALP,M,AC------09110-----,LW4
ALP,M,AC------09110-----,LW5/7-1
ALP,M,AC------09110-----,LW5/7-2
