Discipline,PRIS_NO,ENG Description,KOR Description
ALP,C06,Activity List,활동 리스트
ALP,C08,Competition Schedule,경기 일정
ALP,C30A,Number of Entries by NPC,NPC별 엔트리 인원
ALP,C30B,Number of Entries by Category and Class,카테고리 및 등급별 인원엔트리
ALP,C30C,Number of Entries by Event and Class,세부종목 및 등급별 인원엔트리
ALP,C31A,Entries,엔트리
ALP,C31C,Entries by Event,세부종목별 엔트리
ALP,C32A,Entry List by NPC,NPC별 엔트리 리스트
ALP,C32C,Entry List by Event,세부종목별 엔트리 리스트
ALP,C35,Competition Officials,경기임원
ALP,C38A,Entry Data Checklist,엔트리 데이터 체크리스트
ALP,C38D,Entry Data Checklist - Headshot Photographs,엔트리 데이터 체크리스트 - 상반신 사진
ALP,C39,Entry Data Checklist - Competition Officials,엔트리 데이터 체크리스트- 심판
ALP,C45,Factors for Alpine Skiing,알파인스키 현황
ALP,C48A,Event Entries Form,세부종목 엔트리양식
ALP,C48B,Entry Confirmation,참가선수 확정
ALP,C51A,Start List,스타트 리스트
ALP,C51B,Start List,스타트 리스트
ALP,C55,Bib Picking List,빕 리스트
ALP,C58A,Program for Alpine Skiing,알파인스키 일정
ALP,C59,Report by Referee,심판 보고서
ALP,C67,Official Communication,공식 전달사항
ALP,C68,Sport Communication,종목 전달사항
ALP,C71A,Partial Results,중간 경기결과
ALP,C71B,Partial Results,중간 경기결과
ALP,C72A,Unofficial Results,비공식 경기결과
ALP,C72B,Unofficial Results,비공식 경기결과
ALP,C72C,Unofficial Results,비공식 경기결과
ALP,C73A,Official Results,공식 경기결과
ALP,C73B,Official Results,공식 경기결과
ALP,C73C,Official Results,공식 경기결과
ALP,C77A,Performance Analysis by Rank,랭킹별 퍼포먼스
ALP,C77B,Performance Analysis by Bib,빕별 퍼포먼스 분석
ALP,C77C,Penalty Calculation,페널티 산출
ALP,C92A,Medallists,메달리스트
ALP,C93,Medallists by Event,세부종목별 메달리스트
ALP,C95,Medal Standings,메달 순위
ALP,N02,Competition Format and Rules,경기방식 및 규정
ALP,N03,Course Map and Profile,코스 지도 및 프로필
ALP,N10,Medallists from Previous Paralympic Games,역대패럴림픽 메달리스트
ALP,N11,Medals by NPC,NPC별 메달
ALP,N15,Multi-Medallists,멀티 메달리스트
ALP,N17A,Results in Last Paralympic Cycle,지난 패럴림픽 주기 경기결과
ALP,N17B,WPAS World Cup Standings,WPAS 월드컵 랭킹
ALP,N17C,WPAS World Cup Points List,WPAS 월드컵 포인트 리스트
ALP,N20,Athlete Biography,선수 바이오그래피
ALP,N24,NPC Profile,NPC 프로필
ALP,N51A,Opening Ceremony Flag Bearers,개회식 국기 게양요원
ALP,N51B,Closing Ceremony Flag Bearers,폐회식 국기 게양요원
ALP,N86A,History,스포츠 역사
ALP,N86B,WPAS - Federation Facts,WPAS - 연맹 현황
ALP,N86C,Qualification Criteria,출전자격 획득 절차
ALP,N86D,Facility Description,시설 정보
ALP,N86E,Media Information,미디어 정보
ALP,N86F,Birthdays during the Games,대회 중 생일
ALP,N87A,Flash Quotes,플래시 선수소감
ALP,N87B,Quotes of the Day,오늘의 선수소감
ALP,N88,Press Conference Highlights,기자회견 하이라이트
ALP,N89,Preview / Review,프리뷰/리뷰
ALP,N90A,Media Communication,미디어 전달사항
ALP,N90B,News Article,일반 기사
ALP,N90C,IPC News,IPC 뉴스
ALP,P91A,Victory Ceremony Presenters,메달 시상식 시상자
ALP,P91B,In-venue Ceremony Presenters,경기장 내 시상식 시상자
BTH,C06,Activity List,활동 리스트
BTH,C07,Training Schedule,연습 일정
BTH,C08,Competition Schedule,경기 일정
BTH,C30A,Number of Entries by NPC,NPC별 엔트리 인원
BTH,C30B,Number of Entries by Sport and Class,종목 및 등급별 인원엔트리
BTH,C30C,Number of Entries by Event and Class,세부종목 및 등급별 인원엔트리
BTH,C31A,Entries,엔트리
BTH,C31C,Entries by Event,세부종목별 엔트리
BTH,C32C,Entry List by Event,세부종목별 엔트리 리스트
BTH,C35,Competition Officials,경기임원
BTH,C38A,Entry Data Checklist,엔트리 데이터 체크리스트
BTH,C38D,Entry Data Checklist - Headshot Photographs,엔트리 데이터 체크리스트 - 상반신 사진
BTH,C39,Entry Data Checklist - Competition Officials,엔트리 데이터 체크리스트- 심판
BTH,C44,Race Information Check Form,경기 정보 확인 양식
BTH,C45A,Event Entries Form,세부종목 엔트리양식
BTH,C45B,Final Event Entry Confirmation,최종 세부종목 엔트리 확인
BTH,C46,Percentages for Nordic Events,노르딕 이벤트 확률
BTH,C50A,Draw Overview,추첨 전체개요
BTH,C51A,Start List,스타트 리스트
BTH,C55,Bib Picking List,선수번호 리스트
BTH,C67,Official Communication,공식 전달사항
BTH,C68,Sport Communication,종목 전달사항
BTH,C72A,Unofficial Results,비공식 경기결과
BTH,C73A,Official Results,공식 경기결과
BTH,C92A,Medallists,메달리스트
BTH,C93,Medallists by Event,세부종목별 메달리스트
BTH,C95,Medal Standings,메달 순위
BTH,N02,Competition Format and Rules,경기방식 및 규정
BTH,N03,Course Map and Profile,코스 지도 및 프로필
BTH,N10,Medallists from Previous Paralympic Games,역대패럴림픽 메달리스트
BTH,N11,Medals by NPC,NPC별 메달
BTH,N15,Multi-Medallists,멀티 메달리스트
BTH,N17A,Results in Last Paralympic Cycle,지난 패럴림픽 주기 경기결과
BTH,N17B,Current World Cup Standings,현 월드컵 랭킹
