Id,competition,ENG Description,KOR Description,ENG longdescription,KOR longdescription,IndoorOutdoor,Cluster,City
ABT,Y,Alpensia Biathlon Centre,알펜시아 바이애슬론 센터,Alpensia Biathlon Centre,알펜시아 바이애슬론 센터,O,PYE,PyeongChang
ACC,Y,Alpensia Cross-Ctry Ctr,알펜시아 크로스컨트리 센터,Alpensia Cross-Country Skiing Centre,알펜시아 크로스컨트리 센터,O,PYE,PyeongChang
AKA,N,Alpensia Key Area,알펜시아 핵심지구,Alpensia Key Area,알펜시아 핵심지구,,PYE,PyeongChang
AMC,N,Asan Medical Centre,서울아산병원,Asan Medical Centre,서울아산병원,,SEO,Seoul
AMH,N,AM Hotel,AM호텔,AM Hotel,AM호텔,,,
AOS,N,Incheon Int Airp T1 Statn,인천 국제 공항 T1 역,Incheon International Airport T1 Station,인천 국제 공항 T1 역,,,
APD,N,Alpensia Depot,알펜시아 차고지,Alpensia Depot,알펜시아 차고지,,PYE,PyeongChang
ASJ,Y,Alpensia Ski Jumping Ctr,알펜시아 스키점프 센터,Alpensia Ski Jumping Centre,알펜시아 스키점프 센터,O,PYE,PyeongChang
ASL,Y,Olympic Sliding Centre,올림픽 슬라이딩 센터,Olympic Sliding Centre,올림픽 슬라이딩 센터,O,PYE,PyeongChang
ASP,N,Alpensia Olympic Park,알펜시아올림픽파크,Alpensia Olympic Park,알펜시아올림픽파크,,PYE,PyeongChang
ATC,N,Alternative TOC,보조기술운영센터,Alternative Technology Operations Centre,보조기술운영센터,,PYE,PyeongChang
ATM,N,Alpensia T3 transp. mall,알펜시아 T3 수송몰,Alpensia T3 transport mall,알펜시아 T3 수송몰,,PYE,PyeongChang
ATS,N,Incheon Int Airp T2 Statn,인천 국제 공항 T2 역,Incheon International Airport T2 Station,인천 국제 공항 T2 역,,,
BKD,N,Bokwang Depot,보광 차고지,Bokwang Depot,보광 차고지,,PYE,PyeongChang
BPP,N,Bongpyeong Park & Ride,봉평주차장,Bongpyeong Park & Ride,봉평주차장,,,
BSP,Y,Phoenix Snow Park,휘닉스 스노 경기장,Phoenix Snow Park,휘닉스 스노 경기장,O,PYE,PyeongChang
CAC,N,Coastal Accreditation Ctr,코스탈 클러스터 유니폼배부 및 메인 등록센터,Coastal Accreditation Centre,코스탈 클러스터 유니폼배부 및 메인 등록센터,,GNG,Gangneung 
CHP,N,Primary Core Hosting,주 코어호스팅 센터,Primary Core Hosting,주 코어호스팅 센터,,,
CHS,N,Secondary Core Hosting,부 코어호스팅 센터,Secondary Core Hosting,부 코어호스팅 센터,,,
CTH,N,Coastal Technical Hub,코스탈 테크니컬 허브,Coastal Technical Hub,코스탈 테크니컬 허브,,GNG,Gangneung 
CTM,N,Coastal T3 transport mall,코스탈 T3 수송몰,Coastal T3 transport mall,코스탈 T3 수송몰,,GNG,Gangneung 
DGP,N,Daegwallyeong Park & Ride,대관령주차장,Daegwallyeong Park & Ride,대관령주차장,,,
DTM,N,Daegwallyeong TS Mall,대관령 수송몰,Daegwallyeong Transport Mall (near DGP),대관령 수송몰,,,
DVH,N,Dragon Valley Hotel,용평드래곤밸리 호텔,Yongpyong Dragon Valley Hotel ,용평드래곤밸리 호텔,,PYE,PyeongChang
