Discipline,Gender,ENG Description,KOR Description,Old DDG
ALP,-,Global,종합,AS0
ALP,M,Men,남자,ASM
ALP,W,Women,여자,ASW
ART,-,Global,종합,AF0
BTH,-,Global,종합,BT0
BTH,M,Men,남자,BTM
BTH,W,Women,여자,BTW
CCS,-,Global,종합,CC0
CCS,M,Men,남자,CCM
CCS,O,Open,오픈,CCX
CCS,W,Women,여자,CCW
CCS,X,Mixed,혼성,CCX
CER,-,Global,종합,CE0
CUR,-,Global,종합,CU0
CUR,X,Mixed,혼성,CUX
GEN,-,Global,종합,GL0
GEN,M,Men,남자,GLM
GEN,O,Open,오픈,GLX
GEN,W,Women,여자,GLW
IOC,-,Global,종합,IA0
ISH,-,Global,종합,IH0
ISH,O,Mixed,혼성,IHX
NSK,-,Global,종합,NS0
OLV,-,Global,종합,OV0
PCO,-,Global,종합,PC0
SBD,-,Global,종합,SB0
SBD,M,Men,남자,SBM
SBD,W,Women,여자,SBW
TRU,-,Global,종합,UT0
