Discipline,Gender,Event,phase,Eventunit,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Level,Order,schedule,medalflag,Eventunittype,cisSchedule,infoSchedule,ENG unit Description,KOR unit Description,Old unit
ALP,-,------------------,----,--------,Alpine Skiing,알파인 스키,Alpine Skiing,알파인 스키,Discipline,,N,0,NONE,N,N,,,AS0000000
ALP,-,------------------,----,JAL-----,ALP JAL Local On/Off / KA,ALP JAL Local On/Off / KA,ALP JAL Local On/Off / KA,ALP JAL Local On/Off / KA,Venue,,N,0,NONE,N,N,,,
ALP,-,------------------,----,YAL-----,ALP YAL Local On/Off / KA,ALP YAL Local On/Off / KA,ALP YAL Local On/Off / KA,ALP YAL Local On/Off / KA,Venue,,N,0,NONE,N,N,,,
ALP,-,------------------,MEET,--------,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Meeting,,N,0,NONE,N,N,Team Captain Meeting,대표자 회의,
ALP,-,------------------,MEET,000100--,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,대표자 회의,AS0000T01
ALP,-,------------------,MEET,000200--,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,대표자 회의,AS0000T02
ALP,-,------------------,MEET,000300--,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,대표자 회의,AS0000T03
ALP,-,------------------,MEET,000400--,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,대표자 회의,AS0000T04
ALP,-,------------------,MEET,000500--,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,대표자 회의,AS0000T05
ALP,-,------------------,MEET,000600--,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,대표자 회의,AS0000T06
ALP,-,------------------,MEET,000700--,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,대표자 회의,AS0000T07
ALP,-,------------------,MEET,000800--,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Alpine Skiing Team Captain Meeting,알파인 스키 대표자회의,Meeting,,Y,0,NONE,N,Y,Team Captain Meeting,대표자 회의,AS0000T08
