Id,Venue,LocationOrder,competition,ENG Description,KOR Description,ENG longdescription,KOR longdescription,Source
ABT,ABT,,Y,Alpensia Biathlon Centre,알펜시아 바이애슬론 센터,Alpensia Biathlon Centre,알펜시아 바이애슬론 센터,ABTBTH1
ACC,ACC,,Y,Alpensia Cross-Ctry Ctr,알펜시아 크로스컨트리 센터,Alpensia Cross-Country Skiing Centre,알펜시아 크로스컨트리 센터,ACCCCS1
AKA,AKA,,N,Alpensia Key Area,알펜시아 핵심지구,Alpensia Key Area,알펜시아 핵심지구,
AMC,AMC,,N,Asan Medical Centre,서울아산병원,Asan Medical Centre,서울아산병원,
AOS,AOS,,N,Incheon Int Airp T1 Statn,인천 국제 공항 T1 역,Incheon International Airport T1 Station,인천 국제 공항 T1 역,
APD,APD,,N,Alpensia Depot,알펜시아 차고지,Alpensia Depot,알펜시아 차고지,
ASJ,ASJ,,Y,Alpensia Ski Jumping Ctr,알펜시아 스키점프 센터,Alpensia Ski Jumping Centre,알펜시아 스키점프 센터,
ASL,ASL,,Y,Olympic Sliding Centre,올림픽 슬라이딩 센터,Olympic Sliding Centre,올림픽 슬라이딩 센터,
ASP,ASP,,N,Alpensia Olympic Park,알펜시아올림픽파크,Alpensia Olympic Park,알펜시아올림픽파크,
ATC,ATC,,N,Alternate TOC,보조 기술운영센터,Secondary Technology Operations Centre,보조 기술운영센터,
ATM,ATM,,N,Alpensia T3 transp. mall,알펜시아 T3 수송몰,Alpensia T3 transport mall,알펜시아 T3 수송몰,
ATS,ATS,,N,Incheon Int Airp T2 Statn,인천 국제 공항 T2 역,Incheon International Airport T2 Station,인천 국제 공항 T2 역,
BGT,BGT,,N,Bogwang Transfer Station,보광 환승역,Bogwang Transfer Station,보광 환승역,
BKD,BKD,,N,Bokwang Depot,보광 차고지,Bokwang Depot,보광 차고지,
BKT,BKT,,N,Bukgangneung Transf Statn,북강릉 환승역,Bukgangneung Transfer Station,북강릉 환승역,
BPT,BPT,,N,Bongpyeong Transf Station,봉평 환승역,Bongpyeong Transfer Station,봉평 환승역,
BSP,BSP,,Y,Phoenix Snow Park,휘닉스 스노 파크,Phoenix Snow Park,휘닉스 스노 파크,
CAC,CAC,,N,Coastal Accreditation Ctr,코스탈 클러스터 유니폼배부 및 메인 등록센터,Coastal Accreditation Centre,코스탈 클러스터 유니폼배부 및 메인 등록센터,
CBC,CBC,,N,Coastal Broadcast Centre ,코스탈 방송 센터,Coastal Broadcast Centre ,코스탈 방송 센터,
CHP,CHP,,N,Primary Core Hosting,주 코어호스팅 센터,Primary Core Hosting,주 코어호스팅 센터,
CHS,CHS,,N,Secondary Core Hosting,부 코어호스팅 센터,Secondary Core Hosting,부 코어호스팅 센터,
CST,CST,,N,Coastal Superstore,코스탈 슈퍼스토어,Coastal Superstore,코스탈 슈퍼스토어,
CTO,CTO,,N,Coastal Ticketing Outlet,코스탈 입장권판매점,Coastal Ticketing Outlet,코스탈 입장권판매점,
EDC,EDC,,N,Equipment Deployment Ctr,장비분배센터,Centre for depolyment of IT equipment,장비분배센터,
GAC,GAC,,N,Gangneung Art Center,강릉아트센터,Gangneung Art Center,강릉아트센터,
GAH,GAH,,N,Gangneung Asan Hospital,강릉아산병원,Gangneung Asan Hospital,강릉아산병원,
GBD,GBD,,N,Gangneung BUS Depot,강릉 버스 차고지,Gangneung BUS Depot,강릉 버스 차고지,
CUA,GCC,1,Y,Gangneung Curling - Sheet A,강릉 컬링 센터 - 시트 A,Gangneung Curling Centre - Sheet A,강릉 컬링 센터 - 시트 A,GCCCUR1
CUB,GCC,2,Y,Gangneung Curling - Sheet B,강릉 컬링 센터 - 시트 B,Gangneung Curling Centre - Sheet B,강릉 컬링 센터 - 시트 B,GCCCUR1
CUC,GCC,3,Y,Gangneung Curling - Sheet C,강릉 컬링 센터 - 시트 C,Gangneung Curling Centre - Sheet C,강릉 컬링 센터 - 시트 C,GCCCUR1
CUD,GCC,4,Y,Gangneung Curling - Sheet D,강릉 컬링 센터 - 시트 D,Gangneung Curling Centre - Sheet D,강릉 컬링 센터 - 시트 D,GCCCUR1
GCC,GCC,,Y,Gangneung Curling Centre,강릉 컬링 센터,Gangneung Curling Centre,강릉 컬링 센터,GCCCUR1
TBD,GCC,5,Y,Gangneung Curling - Sheet TBD,강릉 컬링 센터 - 시트 TBD,Gangneung Curling Centre - Sheet TBD,강릉 컬링 센터 - 시트 TBD,GCCCUR1
GFC,GFC,,N,Gangneung Fleet Call Ctr,강릉 플릿 콜 센터,Gangneung Fleet Call Centre,강릉 플릿 콜 센터,
GFD,GFD,,N,Gangneung Fleet Depot,강릉 플릿 차고지,Gangneung Fleet Depot,강릉 플릿 차고지,
GHC,GHC,,Y,Gangneung Hockey Centre,강릉 하키 센터,Gangneung Hockey Centre,강릉 하키 센터,GHCISH1
GIF,GHC,,N,Gangneung IIHF Office,강릉 국제아이스하키연맹 사무실,Gangneung International Ice Hockey Federat. Office,강릉 국제아이스하키연맹 사무실,
GPC,GHC,,N,Gangneung Press Conference Rm,강릉 기자회견장,Gangneung Press Conference Room,강릉 기자회견장,
GHT,GHT,,N,Gangneung Hockey Training,강릉 하키 연습경기장,Gangneung Hockey Training Centre,강릉 하키 연습경기장,
GIA,GIA,,Y,Gangneung Ice Arena,강릉 아이스 아레나,Gangneung Ice Arena,강릉 아이스 아레나,
GKC,GKC,,N,Gangneung K-Client Center,강릉 키클라이언트센터,Gangneung Key-Client Center,강릉 키클라이언트센터,
GMP,GMP,,N,Gimpo Int'l Airport,김포국제공항,Gimpo International Airport,김포국제공항,
GMV,GMV,,N,Gangneung Media Village,강릉 미디어촌,Gangneung Media Village,강릉 미디어촌,
GMW,GMW,,N,Gangneung Media Workroom,강릉 미디어 워크룸,Gangneung Media Workroom,강릉 미디어 워크룸,
GNS,GNS,,N,Gangneung Station,강릉역,Gangneung Station,강릉역,
GNT,GNT,,N,Gangneung Transf Station,강릉 환승역,Gangneung Transfer Station,강릉 환승역,
GOP,GOP,,N,Gangneung Olympic Park,강릉 올림픽 파크,Gangneung Olympic Park,강릉 올림픽 파크,
GOV,GOV,,Y,Gangneung Oval,강릉 스피드 스케이팅 경기장,Gangneung Oval,강릉 스피드 스케이팅 경기장,
GRV,GRV,,N,Gangneung Rem Veh Site,강릉원거리차량검색시설,Gangneung Remote Vehicle Screening Site,강릉원거리차량검색시설,
GST,GST,,N,Gangneung Stadium,강릉 스타디움,Gangneung Stadium,강릉 스타디움,
GTC,GTC,,N,Gangneung Ticketing Ctr,2018 평창 동계올림픽 메인티켓센터 (강릉),Gangneung Ticketing Centre,2018 평창 동계올림픽 메인티켓센터 (강릉),
GTM,GTM,,N,Gangneung T3 transp. mall,강릉 T3 수송몰,Gangneung T3 transport mall,강릉 T3 수송몰,
GVL,GVL,,N,Gangneung Olympic Village,강릉 올림픽 선수촌,Gangneung Olympic Village,강릉 올림픽 선수촌,
HBD,HBD,,N,Hoenggye Bus Depot,횡계 버스 차고지,Hoenggye Bus Depot,횡계 버스 차고지,
HEY,HEY,,N,Heyden700,헤이든700,Heyden700,헤이든700,
HFD,HFD,,N,Hoenggye Fleet Depot,횡계 차량 차고지,Hoenggye Fleet Depot,횡계 차량 차고지,
HGT,HGT,,N,Hoenggye Transfer Station,횡계 환승역,Hoenggye Transfer Station,횡계 환승역,
HJT,HJT,,N,Hongje Transfer Station,홍제 수송역,Hongje Transfer Station,홍제 수송역,
HQ1,HQ1,,N,POCOG Headquarters,평창조직위 본부,PyeongChang 2018 Main Office,평창조직위 본부,
HQ2,HQ2,,N,POCOG Seoul Office,평창조직위 서울사무소,PyeongChang 2018 Secondary Office,평창조직위 서울사무소,
HQ3,HQ3,,N,POCOG Coastal Office,평창조직위 강릉사무소,PyeongChang 2018 Office in Gangneung,평창조직위 강릉사무소,
HQ4,HQ4,,N,POCOG Ski Jumping Office,평창조직위 스키점프사무소,PyeongChang 2018 Office in Ski Jumping Venue,평창조직위 스키점프사무소,
HQ5,HQ5,,N,POCOG KAL Office,평창조직위 대한항공사무소,PyeongChang 2018 Office in Korean Air Headquarters,평창조직위 대한항공사무소,
HST,HST,,N,Hoesan Transfer Station,호산 환승역,Hoesan Transfer Station,호산 환승역,
HTL,HTL,,N,Hotels,호텔 공통,Hotels,호텔 공통,
IBC,IBC,,N,Internat Broadcast Ctr ,국제 방송 센터,International Broadcast Centre ,국제 방송 센터,
ICH,ICH,,N,InterContinental Hotel,인터컨티넨탈 호텔,InterContinental Hotel,인터컨티넨탈 호텔,
ICN,ICN,,N,Incheon Int’l Airport,인천국제공항,Incheon International Airport,인천국제공항,
ISM,ISM,,N,Security Monitoring Ctr,보안관제센터,Integrated Security Monitoring Centre,보안관제센터,
ITH,ITH,,N,IBC Transport Hub,IBC 수송허브,IBC Transport Hub,IBC 수송허브,
JAL,JAL,,Y,Jeongseon Alpine Centre,정선 알파인 경기장,Jeongseon Alpine Centre,정선 알파인 경기장,JALALP1/JALSBD1
JBS,JBS,,N,Jinbu Station,진부역,Jinbu Station,진부역,
JBT,JBT,,N,Jinbu Transfer Station,진부 환승역,Jinbu Transfer Station,진부 환승역,
KFH,KFH,,N,Kensington Flora Hotel,켄싱턴 플로라 호텔,Kensington Flora Hotel,켄싱턴 플로라 호텔,
KHC,KHC,,Y,Kwandong Hockey Centre,관동 하키 센터,Kwandong Hockey Centre,관동 하키 센터,KHCISH1
KIF,KHC,,N,Kwandong IIHF Office,관동 국제아이스하키연맹 사무실,Kwandong International Ice Hockey Federat. Office,관동 국제아이스하키연맹 사무실,
KPC,KHC,,N,Kwandong Press Conference Room,관동 기자회견장,Kwandong Press Conference Room,관동 기자회견장,
KHT,KHT,,N,Kwandong Hockey Training,관동 하키 연습경기장,Kwandong Hockey Training Venue,관동 하키 연습경기장,
KJH,KJH,,N,Keumjin SM Hotel,금진 SM 호텔,Keumjin SM Hotel,금진 SM 호텔,
KST,KST,,N,Korea Science & Tec Inst.,한국과학기술연구원,Korea Institute of Science and Technology (KIST),한국과학기술연구원,
LSH,LSH,,N,Lakai Sandpine,라카이 샌드파인,Lakai Sandpine,라카이 샌드파인,
MAC,MAC,,N,Mountain Accred Ctr,마운틴 클러스터 유니폼배부 및 메인 등록센터,Mountain Accreditation Centre,마운틴 클러스터 유니폼배부 및 메인 등록센터,
MAH,MAH,,N,Maremons Hotel,마레몬스 호텔,Maremons Hotel,마레몬스 호텔,
MDC,MDC,,N,Main Distribution Centre,물류분배센터,Main Distribution Centre,물류분배센터,
MGM,MGM,,N,MGM Hotel,MGM 호텔,MGM Hotel,MGM 호텔,
MNC,MNC,,N,Main Network Centre,주 네트워크 센터,Main Network Centre,주 네트워크 센터,
MOC,MOC,,N,Main Operations Centre,종합운영센터,Main Operations Centre,종합운영센터,
MPC,MPC,,N,Main Press Centre,메인 프레스 센터,Main Press Centre,메인 프레스 센터,
MST,MST,,N,Main Superstore,메인 슈퍼스토어,Main Superstore,메인 슈퍼스토어,
MTH,MTH,,N,Media Transport Hub,미디어촌 수송허브,Media Transport Hub,미디어촌 수송허브,
MTO,MTO,,N,Main Ticketing Outlet,메인 입장권판매점,Main Ticketing Outlet,메인 입장권판매점,
MVL,MVL,,N,Media Village Management,미디어촌 관리,Media Village Management,미디어촌 관리,
NJT,NJT,,N,Najeon Transfer Station,나전 환승역,Najeon Transfer Station,나전 환승역,
OF2,OF2,,N,Holiday Inn Resort,홀리데이인 리조트 호텔,Holiday Inn Hotel and Resort,홀리데이인 리조트 호텔,
OF3,OF3,,N,Dragon Valley Hotel,드래곤밸리 호텔,Dragon Valley Hotel,드래곤밸리 호텔,
OF4,OF4,,N,Kensington Flora Hotel,켄싱턴 플로라 호텔,Kensington Flora Hotel,켄싱턴 플로라 호텔,
OF5,OF5,,N,Gangneung Lakai Sandpine,강릉 라카이샌드파인 리조트,Gangneung Lakai Sandpine Resort,강릉 라카이샌드파인 리조트,
OFH,OFH,,N,Olympic Family Hotel,올림픽패밀리호텔,Olympic Family Hotel,올림픽패밀리호텔,
OHC,OHC,,N,Alpensia Troon Cntry Club,알펜시아 트룬 골프&컨트리 클럽하우스,Alpensia Troon Country Club,알펜시아 트룬 골프&컨트리 클럽하우스,
PCS,PCS,,N,Pyeongchang Station,평창역,Pyeongchang Station,평창역,
PDC,PDC,,N,Primary Data Centre,주 데이터센터,Primary Data Centre,주 데이터센터,
PFH,PFH,,N,Paralympic Family Hotel,패럴림픽패밀리호텔,Paralympic Family Hotel,패럴림픽패밀리호텔,
PMP,PMP,,N,Pyeongchang Medals Plaza,평창 메달 플라자,Pyeongchang Medals Plaza,평창 메달 플라자,
PMV,PMV,,N,PyeongChang Media Resid.,평창 미디어촌,PyeongChang Media Residence,평창 미디어촌,
POP,POP,,N,PyeongChang Olympic Plaza,평창 올림픽 플라자,PyeongChang Olympic Plaza,평창 올림픽 플라자,
POS,POS,,N,PyeongChang Olympic Stad.,평창 올림픽 스타디움,PyeongChang Olympic Stadium,평창 올림픽 스타디움,
PRV,PRV,,N,PyeongChang Rem Veh Site,평창원거리차량검색시설,Pyeongchang Remote Vehicle Screening Site,평창원거리차량검색시설,
PST,PST,,N,PyeongChang Superstore,평창 수퍼스토어,PyeongChang Superstore,평창 수퍼스토어,
