Id,ENG Description,KOR Description,ENG longdescription,KOR longdescription
CEN,Ceremonies News,시상식 뉴스,Ceremonies News,시상식 주요 정보
DAP,Daily Preview,일일 프리뷰,Daily Preview,당일 주요 경기 프리뷰
DAR,Daily Review,일일 리뷰,Daily Review,당일 주요 경기 리뷰 
DIR,Discipline Review,세부종목 리뷰,Discipline Review,세부 종목 리뷰
EVP,Event Preview,이벤트 프리뷰,Event Preview,세부 이벤트 프리뷰
EVR,Event Review,이벤트 리뷰,Event Review,세부 이벤트 리뷰
FL,Flag Bearers,기수 ,Flag Bearers,각국 기수 정보 
FQ,Flash Quotes,선수 소감,Flash Quotes,메달리스트 경기 후 소감
GAR,Game Review,게임 리뷰,Game Review,게임 리뷰
IPC,IPC News,IPC 뉴스,IPC News,IPC 제공 뉴스 
MAP,Match Preview,매치 프리뷰,Match Preview,매치 프리뷰
MAR,Match Review,매치 리뷰 ,Match Review,매치 리뷰 
MCH,Press Conference Highlights,기자회견 하이라이트,Press Conference Highlights,기자회견 주요 내용 
MEC,Media Communications,미디어 공지,Media Communications,미디어 공지사항 
NF,Newsflash,속보,Newsflash,속보
NWS,News Articles,일반 뉴스 ,News Articles,일반 뉴스 
OPC,Open and Closing Ceremonies,개/폐막식,Open and Closing Ceremonies,개/폐막식 주요 정보
PHR,Phase Review,페이즈 리뷰,Phase Review,페이즈 리뷰
PRE,Medals Presenters,메달 시상자,Medals Presenters,메달 수여자
QOD,Quotes of the Day,오늘의 선수소감 ,Quotes of the Day,오늘의 소감 
SEP,Session Preview,세션 프리뷰,Session Preview,세션 프리뷰
SER,Session Review,세션 리뷰,Session Review,세션 리뷰
SPP,Sport Preview,종목 프리뷰,Sport Preview,종목 프리뷰
SPR,Sport Review,종목 리뷰 ,Sport Review,종목 리뷰 
STA,Statistics,통계,Statistics,주요 통계
TAN,Transport Announcements,수송 공지,Transport Announcements,수송 공지
