Discipline,Gender,Event,phase,type,order,ENG Description,KOR Description,ENG longdescription,KOR longdescription,ENG phase Description,KOR phase Description,Old DDGEEEP
ALP,-,------------------,----,8,,Alpine Skiing,알파인 스키 ,Alpine Skiing,알파인 스키 ,,,AS00000
ALP,-,------------------,MEET,9,M,"Alpine Skiing, Team Captain Meeting","알파인 스키, 대표자회의","Alpine Skiing, Team Captain Meeting","알파인 스키, 대표자회의",Team Captain Meeting,대표자 회의,AS0000T
ALP,-,CANCEL------------,----,3,,No competition,경기 없음,No competition,경기 없음,,,
ALP,M,------------------,----,8,,Men's Alpine Skiing,알파인 스키 남자,Men's Alpine Skiing,알파인 스키 남자,,,ASM0000
ALP,M,AC----------------,----,8,,Men's Super Combined,남자 슈퍼복합,Men's Super Combined,남자 슈퍼복합,,,ASM0600
ALP,M,AC------03030-----,----,8,,"Men's Super Combined, Visually Impaired","남자 슈퍼복합, 시각 장애","Men's Super Combined, Visually Impaired","남자 슈퍼복합, 시각 장애",,,ASM3600
ALP,M,AC------03030-----,DRAW,7,D,"Men's Super Combined, Vis Imp, Draw","남자 슈퍼복합, 시각 장애, 추첨","Men's Super Combined, Visually Impaired, Draw","남자 슈퍼복합, 시각 장애, 추첨",Draw,추첨,ASM360E
ALP,M,AC------03030-----,FNL-,3,1,"Men's Super Combined, Visually Impaired","남자 슈퍼복합, 시각 장애","Men's Super Combined, Visually Impaired","남자 슈퍼복합, 시각 장애",,,ASM3601
ALP,M,AC------03030-----,TRNO,1,T,"Men's SC, Vis Imp, Downhill Training","남자 슈퍼복합, 시각 장애, 활강 공식연습","Men's Super Combined, Visually Impaired, Downhill Training","남자 슈퍼복합, 시각 장애, 활강 공식연습",Downhill Training,활강 공식연습,ASM360O
ALP,M,AC------03030-----,VICT,6,V,"Men's SC, Vis Imp, Victory Ceremony","남자 슈퍼복합, 시각 장애, 메달 시상식","Men's Super Combined, Visually Impaired, Victory Ceremony","남자 슈퍼복합, 시각 장애, 메달 시상식",Victory Ceremony,메달 시상식,ASM360M
ALP,M,AC------09110-----,----,8,,"Men's Super Combined, Standing","남자 슈퍼복합, 입식","Men's Super Combined, Standing","남자 슈퍼복합, 입식",,,ASM1600
ALP,M,AC------09110-----,DRAW,7,D,"Men's Super Combined, Standing, Draw","남자 슈퍼복합, 입식, 추첨","Men's Super Combined, Standing, Draw","남자 슈퍼복합, 입식, 추첨",Draw,추첨,ASM160E
ALP,M,AC------09110-----,FNL-,3,1,"Men's Super Combined, Standing","남자 슈퍼복합, 입식","Men's Super Combined, Standing","남자 슈퍼복합, 입식",,,ASM1601
ALP,M,AC------09110-----,TRNO,1,T,"Men's SC, Standing, Downhill Training","남자 슈퍼복합, 입식, 활강 공식연습","Men's Super Combined, Standing, Downhill Training","남자 슈퍼복합, 입식, 활강 공식연습",Downhill Training,활강 공식연습,ASM160O
ALP,M,AC------09110-----,VICT,6,V,"Men's SC, Standing, Victory Ceremony","남자 슈퍼복합, 입식, 메달 시상식","Men's Super Combined, Standing, Victory Ceremony","남자 슈퍼복합, 입식, 메달 시상식",Victory Ceremony,메달 시상식,ASM160M
ALP,M,AC------12050-----,----,8,,"Men's Super Combined, Sitting","남자 슈퍼복합, 좌식","Men's Super Combined, Sitting","남자 슈퍼복합, 좌식",,,ASM2600
