Discipline,Code_Entity,Code,Order,Description,Note
ALP,ForerunnerBib,A,,A,
ALP,ForerunnerBib,B,,B,
ALP,ForerunnerBib,C,,C,
ALP,ForerunnerBib,D,,D,
ALP,ForerunnerBib,E,,E,
ALP,ForerunnerBib,F,,F,
ALP,ForerunnerBib,G,,G,
ALP,ForerunnerBib,H,,H,
ALP,ForerunnerBib,I,,I,
ALP,ForerunnerBib,J,,J,
ALP,ForerunnerBib,K,,K,
ALP,ForerunnerBib,L,,L,
ALP,ForerunnerBib,M,,M,
ALP,ForerunnerBib,N,,N,
ALP,ForerunnerBib,O,,O,
ALP,IRM,DNF,,Did not Finish,
ALP,IRM,DNS,,Did not Start,
ALP,IRM,DQB,,Disqualified for unsportsmanlike behaviour,
ALP,IRM,DSQ,,Disqualified,
ALP,IRM,NPS,,Not Permitted to Start,
ALP,ResultType,IRM,,Invalid Result Mark,
ALP,ResultType,TIME,,Time,
ALP,WLT,L,,Team / Athlete lost,
ALP,WLT,T,,Team / Athlete tied,
ALP,WLT,W,,Team / Athlete won,
BTH,IRM,DNF,,Did not finish,
BTH,IRM,DNS,,Did not start,
BTH,IRM,DQB,,Disqualified for unsportsmanlike behaviour,
BTH,IRM,DSQ,,Disqualified,
BTH,ResultType,IRM,,Invalid Result Mark,
BTH,ResultType,IRM_TIME,,"For both, time and invalid result mark",
BTH,ResultType,PENALTY,,Number of penalties,
BTH,ResultType,TIME,,Time,
CCS,Bracket,FNL,,Final,
CCS,BracketItems,FNL,,Final,
CCS,BracketItems,QFNL,,Quarterfinal,
CCS,BracketItems,SFNL,,Semifinal,
CCS,IRM,DNF,,Did not finish,
CCS,IRM,DNS,,Did not start,
CCS,IRM,DQB,,Disqualified for unsportsmanlike behaviour,
CCS,IRM,DSQ,,Disqualified,
CCS,QualificationMark,LL,,Lucky Loser,
CCS,QualificationMark,Q,,Qualified,
CCS,ResultPhase,F,,Final,
CCS,ResultPhase,FA,,Final A,
CCS,ResultPhase,FB,,Final B,
CCS,ResultPhase,Q,,Qualification,
CCS,ResultPhase,QF,,Quarterfinal,
CCS,ResultPhase,SF,,Semifinal,
CCS,ResultPhase,SF1,,Semifinal 1,
CCS,ResultPhase,SF2,,Semifinal 2,
CCS,ResultType,IRM,,Invalid Result Mark,
CCS,ResultType,TIME,,Time,
CUR,AthleteStatus,DQB,,Disqualified for unsportsmanlike behaviour,
CUR,AthleteStatus,DSQ,,Disqualified,
